scen,iter,col,category,count
pvalloc_LRG3_max,8,heatpump_TF,no_heatpump,3414
pvalloc_LRG3_max,8,filter_tag,eastwest_80pr,350
pvalloc_LRG3_max,8,filter_tag,na,2485
pvalloc_LRG3_max,8,filter_tag,south_40pr,393
pvalloc_LRG3_max,8,filter_tag,eastwest_70pr,151
pvalloc_LRG3_max,8,filter_tag,south_50pr,449
pvalloc_LRG3_max,9,GKLAS,1122,162
pvalloc_LRG3_max,9,GKLAS,1121,303
pvalloc_LRG3_max,9,GKLAS,1110,4893
pvalloc_LRG3_max,9,are_typ,Suburban,1708
pvalloc_LRG3_max,9,are_typ,Urban,2590
pvalloc_LRG3_max,9,are_typ,Rural,1060
pvalloc_LRG3_max,9,heatpump_TF,no_heatpump,5247
pvalloc_LRG3_max,9,heatpump_TF,heatpump,111
pvalloc_LRG3_max,9,filter_tag,south_40pr,554
pvalloc_LRG3_max,9,filter_tag,eastwest_80pr,566
pvalloc_LRG3_max,9,filter_tag,eastwest_70pr,234
pvalloc_LRG3_max,9,filter_tag,na,3331
pvalloc_LRG3_max,9,filter_tag,south_50pr,673
pvalloc_LRG3_max,10,GKLAS,1121,151
pvalloc_LRG3_max,10,GKLAS,1122,110
pvalloc_LRG3_max,10,GKLAS,1110,4995
pvalloc_LRG3_max,10,are_typ,Suburban,1570
pvalloc_LRG3_max,10,are_typ,Rural,975
pvalloc_LRG3_max,10,are_typ,Urban,2711
pvalloc_LRG3_max,10,heatpump_TF,heatpump,61
pvalloc_LRG3_max,10,heatpump_TF,no_heatpump,5195
pvalloc_LRG3_max,10,filter_tag,south_50pr,748
pvalloc_LRG3_max,10,filter_tag,south_40pr,500
pvalloc_LRG3_max,10,filter_tag,na,3202
pvalloc_LRG3_max,10,filter_tag,eastwest_70pr,193
pvalloc_LRG3_max,10,filter_tag,eastwest_80pr,613
pvalloc_LRG3_max_1hll,1,GKLAS,1121,43
pvalloc_LRG3_max_1hll,1,GKLAS,1110,182
pvalloc_LRG3_max_1hll,1,GKLAS,1122,191
pvalloc_LRG3_max_1hll,1,are_typ,Urban,174
pvalloc_LRG3_max_1hll,1,are_typ,Rural,81
pvalloc_LRG3_max_1hll,1,are_typ,Suburban,161
pvalloc_LRG3_max_1hll,1,heatpump_TF,heatpump,164
pvalloc_LRG3_max_1hll,1,heatpump_TF,no_heatpump,252
pvalloc_LRG3_max_1hll,1,filter_tag,eastwest_80pr,25
pvalloc_LRG3_max_1hll,1,filter_tag,na,289
pvalloc_LRG3_max_1hll,1,filter_tag,eastwest_70pr,14
pvalloc_LRG3_max_1hll,1,filter_tag,south_50pr,46
pvalloc_LRG3_max_1hll,1,filter_tag,south_40pr,42
pvalloc_LRG3_max_1hll,2,GKLAS,1122,246
pvalloc_LRG3_max_1hll,2,GKLAS,1110,311
pvalloc_LRG3_max_1hll,2,GKLAS,1121,56
pvalloc_LRG3_max_1hll,2,are_typ,Rural,131
pvalloc_LRG3_max_1hll,2,are_typ,Suburban,218
pvalloc_LRG3_max_1hll,2,are_typ,Urban,264
pvalloc_LRG3_max_1hll,2,heatpump_TF,no_heatpump,445
pvalloc_LRG3_max_1hll,2,heatpump_TF,heatpump,168
pvalloc_LRG3_max_1hll,2,filter_tag,south_50pr,54
pvalloc_LRG3_max_1hll,2,filter_tag,eastwest_70pr,33
pvalloc_LRG3_max_1hll,2,filter_tag,eastwest_80pr,65
pvalloc_LRG3_max_1hll,2,filter_tag,south_40pr,70
pvalloc_LRG3_max_1hll,2,filter_tag,na,391
pvalloc_LRG3_max_1hll,3,GKLAS,1122,303
pvalloc_LRG3_max_1hll,3,GKLAS,1121,91
pvalloc_LRG3_max_1hll,3,GKLAS,1110,418
pvalloc_LRG3_max_1hll,3,are_typ,Rural,168
pvalloc_LRG3_max_1hll,3,are_typ,Urban,331
pvalloc_LRG3_max_1hll,3,are_typ,Suburban,313
pvalloc_LRG3_max_1hll,3,heatpump_TF,heatpump,196
pvalloc_LRG3_max_1hll,3,heatpump_TF,no_heatpump,616
pvalloc_LRG3_max_1hll,3,filter_tag,south_50pr,77
pvalloc_LRG3_max_1hll,3,filter_tag,na,527
pvalloc_LRG3_max_1hll,3,filter_tag,eastwest_70pr,34
pvalloc_LRG3_max_1hll,3,filter_tag,eastwest_80pr,80
pvalloc_LRG3_max_1hll,3,filter_tag,south_40pr,94
pvalloc_LRG3_max_1hll,4,GKLAS,1122,358
pvalloc_LRG3_max_1hll,4,GKLAS,1121,125
pvalloc_LRG3_max_1hll,4,GKLAS,1110,668
pvalloc_LRG3_max_1hll,4,are_typ,Rural,260
pvalloc_LRG3_max_1hll,4,are_typ,Suburban,433
pvalloc_LRG3_max_1hll,4,are_typ,Urban,458
pvalloc_LRG3_max_1hll,4,heatpump_TF,heatpump,267
pvalloc_LRG3_max_1hll,4,heatpump_TF,no_heatpump,884
pvalloc_LRG3_max_1hll,4,filter_tag,eastwest_80pr,123
pvalloc_LRG3_max_1hll,4,filter_tag,eastwest_70pr,62
pvalloc_LRG3_max_1hll,4,filter_tag,na,703
pvalloc_LRG3_max_1hll,4,filter_tag,south_50pr,125
pvalloc_LRG3_max_1hll,4,filter_tag,south_40pr,138
pvalloc_LRG3_max_1hll,5,GKLAS,1122,442
pvalloc_LRG3_max_1hll,5,GKLAS,1121,152
pvalloc_LRG3_max_1hll,5,GKLAS,1110,943
pvalloc_LRG3_max_1hll,5,are_typ,Urban,618
pvalloc_LRG3_max_1hll,5,are_typ,Rural,363
pvalloc_LRG3_max_1hll,5,are_typ,Suburban,556
pvalloc_LRG3_max_1hll,5,heatpump_TF,no_heatpump,1170
pvalloc_LRG3_max_1hll,5,heatpump_TF,heatpump,367
pvalloc_LRG3_max_1hll,5,filter_tag,south_40pr,184
pvalloc_LRG3_max_1hll,5,filter_tag,eastwest_70pr,61
pvalloc_LRG3_max_1hll,5,filter_tag,south_50pr,176
pvalloc_LRG3_max_1hll,5,filter_tag,na,974
pvalloc_LRG3_max_1hll,5,filter_tag,eastwest_80pr,142
pvalloc_LRG3_max_1hll,6,GKLAS,1110,1485
pvalloc_LRG3_max_1hll,6,GKLAS,1122,477
pvalloc_LRG3_max_1hll,6,GKLAS,1121,168
pvalloc_LRG3_max_1hll,6,are_typ,Urban,859
pvalloc_LRG3_max_1hll,6,are_typ,Rural,498
pvalloc_LRG3_max_1hll,6,are_typ,Suburban,773
