n_iter,feedin_atnode_loss_kW,feedin_atnode_taken_kW,demand_atnode_kW,feedin_atnode_kW,TotalPower,n_EGID_pvinst,ratio_EGID_pvinst,scen
19,593048.8740018017,148142297.14202854,150361324.61045393,148735346.01603034,0.0,0,0.8168559172344184,pvalloc_LRG3_max_1hll
20,593048.8740018017,148142297.14202854,150361324.61045393,148735346.01603034,0.0,0,0.8168559172344184,pvalloc_LRG3_max_1hll
21,593048.8740018017,148142297.14202854,150361324.61045393,148735346.01603034,0.0,0,0.8168559172344184,pvalloc_LRG3_max_1hll
22,593048.8740018017,148142297.14202854,150361324.61045393,148735346.01603034,0.0,0,0.8168559172344184,pvalloc_LRG3_max_1hll
23,593048.8740018017,148142297.14202854,150361324.61045393,148735346.01603034,0.0,0,0.8168559172344184,pvalloc_LRG3_max_1hll
24,593048.8740018017,148142297.14202854,150361324.61045393,148735346.01603034,0.0,0,0.8168559172344184,pvalloc_LRG3_max_1hll
25,593048.8740018017,148142297.14202854,150361324.61045393,148735346.01603034,0.0,0,0.8168559172344184,pvalloc_LRG3_max_1hll
26,593048.8740018017,148142297.14202854,150361324.61045393,148735346.01603034,0.0,0,0.8168559172344184,pvalloc_LRG3_max_1hll
27,593048.8740018017,148142297.14202854,150361324.61045393,148735346.01603034,0.0,0,0.8168559172344184,pvalloc_LRG3_max_1hll
28,593048.8740018017,148142297.14202854,150361324.61045393,148735346.01603034,0.0,0,0.8168559172344184,pvalloc_LRG3_max_1hll
29,593048.8740018017,148142297.14202854,150361324.61045393,148735346.01603034,0.0,0,0.8168559172344184,pvalloc_LRG3_max_1hll
30,593048.8740018017,148142297.14202854,150361324.61045393,148735346.01603034,0.0,0,0.8168559172344184,pvalloc_LRG3_max_1hll
1,0.0,15683393.108458739,196046866.6249545,15683393.108458739,5740.490563461895,307,0.015493313146606107,pvalloc_LRG3_max_elecpri15rp
2,0.0,20154283.781002227,193886603.64890766,20154283.781002227,7301.333716852089,442,0.03779964673227353,pvalloc_LRG3_max_elecpri15rp
3,0.0,26181963.812622633,191384835.38990298,26181963.812622633,9285.337888324186,624,0.06929094120615695,pvalloc_LRG3_max_elecpri15rp
4,0.0,34123705.04126141,188548498.46819517,34123705.04126141,11795.478434539948,808,0.11006813020439062,pvalloc_LRG3_max_elecpri15rp
5,0.0,44322995.59124534,185058722.14200947,44322995.59124534,14939.807214528457,1072,0.1641685591723442,pvalloc_LRG3_max_elecpri15rp
6,0.0,57068034.45189465,180662800.40687656,57068034.45189465,18863.36913763914,1457,0.2376987130961393,pvalloc_LRG3_max_elecpri15rp
7,197.5276347700849,73210462.14124222,175332800.0638333,73210659.66887699,23686.227389325562,1994,0.3383295483219783,pvalloc_LRG3_max_elecpri15rp
8,57230.409562889414,93937347.84935413,169213001.69727036,93994578.25891703,29598.828856070737,2705,0.47484229119354027,pvalloc_LRG3_max_elecpri15rp
9,491397.6742354544,119544165.74738574,161999518.29708403,120035563.42162117,36728.74422465764,3563,0.6546555639666919,pvalloc_LRG3_max_elecpri15rp
10,3468013.121878813,149075845.5011773,154160869.85398075,152543858.62305614,36811.120307124875,3740,0.8434014635377239,pvalloc_LRG3_max_elecpri15rp
11,9516218.737465858,175844915.50463423,147287168.45967647,185361134.24210006,0.0,0,0.8434014635377239,pvalloc_LRG3_max_elecpri15rp
12,9516218.737465858,175844915.50463423,147287168.45967647,185361134.24210006,0.0,0,0.8434014635377239,pvalloc_LRG3_max_elecpri15rp
13,9516218.737465858,175844915.50463423,147287168.45967647,185361134.24210006,0.0,0,0.8434014635377239,pvalloc_LRG3_max_elecpri15rp
14,9516218.737465858,175844915.50463423,147287168.45967647,185361134.24210006,0.0,0,0.8434014635377239,pvalloc_LRG3_max_elecpri15rp
15,9516218.737465858,175844915.50463423,147287168.45967647,185361134.24210006,0.0,0,0.8434014635377239,pvalloc_LRG3_max_elecpri15rp
16,9516218.737465858,175844915.50463423,147287168.45967647,185361134.24210006,0.0,0,0.8434014635377239,pvalloc_LRG3_max_elecpri15rp
17,9516218.737465858,175844915.50463423,147287168.45967647,185361134.24210006,0.0,0,0.8434014635377239,pvalloc_LRG3_max_elecpri15rp
18,9516218.737465858,175844915.50463423,147287168.45967647,185361134.24210006,0.0,0,0.8434014635377239,pvalloc_LRG3_max_elecpri15rp
19,9516218.737465858,175844915.50463423,147287168.45967647,185361134.24210006,0.0,0,0.8434014635377239,pvalloc_LRG3_max_elecpri15rp
20,9516218.737465858,175844915.50463423,147287168.45967647,185361134.24210006,0.0,0,0.8434014635377239,pvalloc_LRG3_max_elecpri15rp
21,9516218.737465858,175844915.50463423,147287168.45967647,185361134.24210006,0.0,0,0.8434014635377239,pvalloc_LRG3_max_elecpri15rp
22,9516218.737465858,175844915.50463423,147287168.45967647,185361134.24210006,0.0,0,0.8434014635377239,pvalloc_LRG3_max_elecpri15rp
23,9516218.737465858,175844915.50463423,147287168.45967647,185361134.24210006,0.0,0,0.8434014635377239,pvalloc_LRG3_max_elecpri15rp
24,9516218.737465858,175844915.50463423,147287168.45967647,185361134.24210006,0.0,0,0.8434014635377239,pvalloc_LRG3_max_elecpri15rp
25,9516218.737465858,175844915.50463423,147287168.45967647,185361134.24210006,0.0,0,0.8434014635377239,pvalloc_LRG3_max_elecpri15rp
26,9516218.737465858,175844915.50463423,147287168.45967647,185361134.24210006,0.0,0,0.8434014635377239,pvalloc_LRG3_max_elecpri15rp
27,9516218.737465858,175844915.50463423,147287168.45967647,185361134.24210006,0.0,0,0.8434014635377239,pvalloc_LRG3_max_elecpri15rp
28,9516218.737465858,175844915.50463423,147287168.45967647,185361134.24210006,0.0,0,0.8434014635377239,pvalloc_LRG3_max_elecpri15rp
29,9516218.737465858,175844915.50463423,147287168.45967647,185361134.24210006,0.0,0,0.8434014635377239,pvalloc_LRG3_max_elecpri15rp
30,9516218.737465858,175844915.50463423,147287168.45967647,185361134.24210006,0.0,0,0.8434014635377239,pvalloc_LRG3_max_elecpri15rp
1,0.0,15675897.657157123,196046969.5953906,15675897.657157123,5721.451968574544,349,0.017612919505425182,pvalloc_LRG3_max_elecpri60rp
2,0.0,19101898.24282115,193046892.7442162,19101898.24282115,7302.158799817029,529,0.044309866262932124,pvalloc_LRG3_max_elecpri60rp
3,0.0,24530510.648156773,190341583.16607282,24530510.648156773,9291.583740537602,683,0.07877870300277567,pvalloc_LRG3_max_elecpri60rp
4,0.0,31492128.77168484,187124995.64874035,31492128.77168484,11800.359229193826,938,0.12611657834973505,pvalloc_LRG3_max_elecpri60rp
5,0.0,40456482.62922066,183114903.04568505,40456482.62922066,14946.95517426876,1273,0.19036083774917992,pvalloc_LRG3_max_elecpri60rp
6,0.0,52015765.287544616,178459174.32405716,52015765.287544616,18862.09023944929,1645,0.2733787534695937,pvalloc_LRG3_max_elecpri60rp
7,44.36576270818614,66929213.08615746,172943138.82320946,66929257.45192017,23684.72009481789,2143,0.38152914458743376,pvalloc_LRG3_max_elecpri60rp
8,42256.455860567425,85628443.76122537,166155534.12135303,85670700.21708596,29597.544664647638,2786,0.5221296997224325,pvalloc_LRG3_max_elecpri60rp
9,367898.64542713074,109358633.90095016,158833062.3750475,109726532.54637732,36726.79886455887,3990,0.7234923038102448,pvalloc_LRG3_max_elecpri60rp
10,2634316.0983782182,138185148.26953176,152275260.49222273,140819464.36791,45196.77932139862,5001,0.9758768609639162,pvalloc_LRG3_max_elecpri60rp
11,9534917.632276073,173024308.41425708,144733574.61740538,182559226.0465332,4573.925020273265,478,1.0,pvalloc_LRG3_max_elecpri60rp
12,10636775.389582101,176321971.29670858,143862602.35592207,186958746.6862907,0.0,0,1.0,pvalloc_LRG3_max_elecpri60rp
13,10636775.389582101,176321971.29670858,143862602.35592207,186958746.6862907,0.0,0,1.0,pvalloc_LRG3_max_elecpri60rp
14,10636775.389582101,176321971.29670858,143862602.35592207,186958746.6862907,0.0,0,1.0,pvalloc_LRG3_max_elecpri60rp
15,10636775.389582101,176321971.29670858,143862602.35592207,186958746.6862907,0.0,0,1.0,pvalloc_LRG3_max_elecpri60rp
16,10636775.389582101,176321971.29670858,143862602.35592207,186958746.6862907,0.0,0,1.0,pvalloc_LRG3_max_elecpri60rp
17,10636775.389582101,176321971.29670858,143862602.35592207,186958746.6862907,0.0,0,1.0,pvalloc_LRG3_max_elecpri60rp
18,10636775.389582101,176321971.29670858,143862602.35592207,186958746.6862907,0.0,0,1.0,pvalloc_LRG3_max_elecpri60rp
19,10636775.389582101,176321971.29670858,143862602.35592207,186958746.6862907,0.0,0,1.0,pvalloc_LRG3_max_elecpri60rp
20,10636775.389582101,176321971.29670858,143862602.35592207,186958746.6862907,0.0,0,1.0,pvalloc_LRG3_max_elecpri60rp
21,10636775.389582101,176321971.29670858,143862602.35592207,186958746.6862907,0.0,0,1.0,pvalloc_LRG3_max_elecpri60rp
22,10636775.389582101,176321971.29670858,143862602.35592207,186958746.6862907,0.0,0,1.0,pvalloc_LRG3_max_elecpri60rp
23,10636775.389582101,176321971.29670858,143862602.35592207,186958746.6862907,0.0,0,1.0,pvalloc_LRG3_max_elecpri60rp
24,10636775.389582101,176321971.29670858,143862602.35592207,186958746.6862907,0.0,0,1.0,pvalloc_LRG3_max_elecpri60rp
25,10636775.389582101,176321971.29670858,143862602.35592207,186958746.6862907,0.0,0,1.0,pvalloc_LRG3_max_elecpri60rp
26,10636775.389582101,176321971.29670858,143862602.35592207,186958746.6862907,0.0,0,1.0,pvalloc_LRG3_max_elecpri60rp
27,10636775.389582101,176321971.29670858,143862602.35592207,186958746.6862907,0.0,0,1.0,pvalloc_LRG3_max_elecpri60rp
28,10636775.389582101,176321971.29670858,143862602.35592207,186958746.6862907,0.0,0,1.0,pvalloc_LRG3_max_elecpri60rp
29,10636775.389582101,176321971.29670858,143862602.35592207,186958746.6862907,0.0,0,1.0,pvalloc_LRG3_max_elecpri60rp
30,10636775.389582101,176321971.29670858,143862602.35592207,186958746.6862907,0.0,0,1.0,pvalloc_LRG3_max_elecpri60rp
1,0.0,15683393.10845874,196046866.62495452,15683393.10845874,5768.745917631707,361,0.018218521322230632,pvalloc_LRG3_max_epzb025
2,0.0,19396286.86129857,193200341.2401363,19396286.86129857,6407.028256413152,463,0.041584658087307595,pvalloc_LRG3_max_epzb025
3,0.0,24262317.809884112,190753994.56855172,24262317.809884112,7778.810200506895,602,0.07196568256371436,pvalloc_LRG3_max_epzb025
4,0.0,30366762.130549815,188063297.06804985,30366762.130549815,9166.686653939598,730,0.1088064597527126,pvalloc_LRG3_max_epzb025
5,0.0,37549555.60580699,184868408.91188508,37549555.60580699,10569.152311010082,920,0.1552359323744638,pvalloc_LRG3_max_epzb025
6,0.0,45892235.75891815,181243495.24328846,45892235.75891815,11982.215173598632,1053,0.20837749179914206,pvalloc_LRG3_max_epzb025
7,30.284739115897366,55446647.86194202,177365466.57175642,55446678.14668114,13414.947127532247,1256,0.2717638152914459,pvalloc_LRG3_max_epzb025
8,1306.0831581360324,66226047.703007594,173205679.505207,66227353.78616573,15237.397836078384,1522,0.34857431238960385,pvalloc_LRG3_max_epzb025
9,13012.02188259885,78607942.3594119,168664210.60969764,78620954.38129449,17080.253798917467,1723,0.4355286399192531,pvalloc_LRG3_max_epzb025
10,73698.48509611675,92514937.38163,163833402.43275002,92588635.86672613,18943.812772650756,1973,0.5350996719656825,pvalloc_LRG3_max_epzb025
11,336692.88181499566,108075298.47912492,159025247.23908398,108411991.3609399,20825.266049210957,2383,0.6553620994196316,pvalloc_LRG3_max_epzb025
12,1190512.634535193,125198634.20921433,154829577.71293673,126389146.84374952,22727.127593575846,2732,0.7932374463790058,pvalloc_LRG3_max_epzb025
13,3200506.0883758073,142900123.2428138,150515695.22543877,146100629.33118957,25111.67989166726,3068,0.9480696442089326,pvalloc_LRG3_max_epzb025
14,6806099.048726294,160752668.17430815,146051752.64564028,167558767.2230344,7841.903586637367,930,0.995003785011355,pvalloc_LRG3_max_epzb025
15,8055073.121077603,165900628.98346007,144668382.79737267,173955702.10453764,0.0,0,0.995003785011355,pvalloc_LRG3_max_epzb025
16,8055073.121077603,165900628.98346007,144668382.79737267,173955702.10453764,0.0,0,0.995003785011355,pvalloc_LRG3_max_epzb025
17,8055073.121077603,165900628.98346007,144668382.79737267,173955702.10453764,0.0,0,0.995003785011355,pvalloc_LRG3_max_epzb025
18,8055073.121077603,165900628.98346007,144668382.79737267,173955702.10453764,0.0,0,0.995003785011355,pvalloc_LRG3_max_epzb025
19,8055073.121077603,165900628.98346007,144668382.79737267,173955702.10453764,0.0,0,0.995003785011355,pvalloc_LRG3_max_epzb025
20,8055073.121077603,165900628.98346007,144668382.79737267,173955702.10453764,0.0,0,0.995003785011355,pvalloc_LRG3_max_epzb025
21,8055073.121077603,165900628.98346007,144668382.79737267,173955702.10453764,0.0,0,0.995003785011355,pvalloc_LRG3_max_epzb025
22,8055073.121077603,165900628.98346007,144668382.79737267,173955702.10453764,0.0,0,0.995003785011355,pvalloc_LRG3_max_epzb025
23,8055073.121077603,165900628.98346007,144668382.79737267,173955702.10453764,0.0,0,0.995003785011355,pvalloc_LRG3_max_epzb025
24,8055073.121077603,165900628.98346007,144668382.79737267,173955702.10453764,0.0,0,0.995003785011355,pvalloc_LRG3_max_epzb025
25,8055073.121077603,165900628.98346007,144668382.79737267,173955702.10453764,0.0,0,0.995003785011355,pvalloc_LRG3_max_epzb025
26,8055073.121077603,165900628.98346007,144668382.79737267,173955702.10453764,0.0,0,0.995003785011355,pvalloc_LRG3_max_epzb025
27,8055073.121077603,165900628.98346007,144668382.79737267,173955702.10453764,0.0,0,0.995003785011355,pvalloc_LRG3_max_epzb025
28,8055073.121077603,165900628.98346007,144668382.79737267,173955702.10453764,0.0,0,0.995003785011355,pvalloc_LRG3_max_epzb025
29,8055073.121077603,165900628.98346007,144668382.79737267,173955702.10453764,0.0,0,0.995003785011355,pvalloc_LRG3_max_epzb025
30,8055073.121077603,165900628.98346007,144668382.79737267,173955702.10453764,0.0,0,0.995003785011355,pvalloc_LRG3_max_epzb025
1,0.0,15683393.108458739,196046866.6249545,15683393.108458739,23043.34427342038,1643,0.08291698208427958,pvalloc_LRG3_max_epzb1
2,0.0,32694929.835611362,187011582.28775194,32694929.835611362,25610.65065830691,2195,0.19369164774160988,pvalloc_LRG3_max_epzb1
3,0.0,53044771.91211215,178429674.7160204,53044771.91211215,31099.253065366327,3002,0.34519303557910674,pvalloc_LRG3_max_epzb1
4,22632.432746074006,77982227.01778275,168795724.69069612,78004859.45052882,36647.95642984213,3773,0.5356043401463537,pvalloc_LRG3_max_epzb1
5,331496.27737238153,108015853.28012164,158991688.3164175,108347349.557494,42252.69755677616,4940,0.7849104213979309,pvalloc_LRG3_max_epzb1
6,3098444.183898161,142007817.715782,150756706.1557087,145106261.89968017,33949.18891572074,4133,0.9934897804693414,pvalloc_LRG3_max_epzb1
7,8021543.57756583,165815020.63711885,144697101.23225874,173836564.2146847,0.0,0,0.9934897804693414,pvalloc_LRG3_max_epzb1
8,8021543.57756583,165815020.63711885,144697101.23225874,173836564.2146847,0.0,0,0.9934897804693414,pvalloc_LRG3_max_epzb1
9,8021543.57756583,165815020.63711885,144697101.23225874,173836564.2146847,0.0,0,0.9934897804693414,pvalloc_LRG3_max_epzb1
10,8021543.57756583,165815020.63711885,144697101.23225874,173836564.2146847,0.0,0,0.9934897804693414,pvalloc_LRG3_max_epzb1
11,8021543.57756583,165815020.63711885,144697101.23225874,173836564.2146847,0.0,0,0.9934897804693414,pvalloc_LRG3_max_epzb1
12,8021543.57756583,165815020.63711885,144697101.23225874,173836564.2146847,0.0,0,0.9934897804693414,pvalloc_LRG3_max_epzb1
13,8021543.57756583,165815020.63711885,144697101.23225874,173836564.2146847,0.0,0,0.9934897804693414,pvalloc_LRG3_max_epzb1
14,8021543.57756583,165815020.63711885,144697101.23225874,173836564.2146847,0.0,0,0.9934897804693414,pvalloc_LRG3_max_epzb1
15,8021543.57756583,165815020.63711885,144697101.23225874,173836564.2146847,0.0,0,0.9934897804693414,pvalloc_LRG3_max_epzb1
16,8021543.57756583,165815020.63711885,144697101.23225874,173836564.2146847,0.0,0,0.9934897804693414,pvalloc_LRG3_max_epzb1
17,8021543.57756583,165815020.63711885,144697101.23225874,173836564.2146847,0.0,0,0.9934897804693414,pvalloc_LRG3_max_epzb1
18,8021543.57756583,165815020.63711885,144697101.23225874,173836564.2146847,0.0,0,0.9934897804693414,pvalloc_LRG3_max_epzb1
19,8021543.57756583,165815020.63711885,144697101.23225874,173836564.2146847,0.0,0,0.9934897804693414,pvalloc_LRG3_max_epzb1
20,8021543.57756583,165815020.63711885,144697101.23225874,173836564.2146847,0.0,0,0.9934897804693414,pvalloc_LRG3_max_epzb1
21,8021543.57756583,165815020.63711885,144697101.23225874,173836564.2146847,0.0,0,0.9934897804693414,pvalloc_LRG3_max_epzb1
22,8021543.57756583,165815020.63711885,144697101.23225874,173836564.2146847,0.0,0,0.9934897804693414,pvalloc_LRG3_max_epzb1
23,8021543.57756583,165815020.63711885,144697101.23225874,173836564.2146847,0.0,0,0.9934897804693414,pvalloc_LRG3_max_epzb1
24,8021543.57756583,165815020.63711885,144697101.23225874,173836564.2146847,0.0,0,0.9934897804693414,pvalloc_LRG3_max_epzb1
25,8021543.57756583,165815020.63711885,144697101.23225874,173836564.2146847,0.0,0,0.9934897804693414,pvalloc_LRG3_max_epzb1
26,8021543.57756583,165815020.63711885,144697101.23225874,173836564.2146847,0.0,0,0.9934897804693414,pvalloc_LRG3_max_epzb1
27,8021543.57756583,165815020.63711885,144697101.23225874,173836564.2146847,0.0,0,0.9934897804693414,pvalloc_LRG3_max_epzb1
28,8021543.57756583,165815020.63711885,144697101.23225874,173836564.2146847,0.0,0,0.9934897804693414,pvalloc_LRG3_max_epzb1
29,8021543.57756583,165815020.63711885,144697101.23225874,173836564.2146847,0.0,0,0.9934897804693414,pvalloc_LRG3_max_epzb1
30,8021543.57756583,165815020.63711885,144697101.23225874,173836564.2146847,0.0,0,0.9934897804693414,pvalloc_LRG3_max_epzb1
1,0.0,15683393.108458739,196046866.6249545,15683393.108458739,5721.386120898935,329,0.016603583144082765,pvalloc_LRG3_max_gridoptim
2,0.0,20875124.527332246,194597299.11463398,20875124.527332246,7293.697003096617,455,0.03956598536462276,pvalloc_LRG3_max_gridoptim
3,0.0,27347262.897751115,192705575.7217986,27347262.897751115,9293.83704028905,661,0.07292455210698966,pvalloc_LRG3_max_gridoptim
4,0.0,35721086.210554935,190400903.01636612,35721086.210554935,11798.149342762605,928,0.11975775927327782,pvalloc_LRG3_max_gridoptim
5,0.0,46381261.12141459,187481787.8836631,46381261.12141459,14938.8602871706,1320,0.18637395912187738,pvalloc_LRG3_max_gridoptim
6,0.0,59913509.54083481,183858660.8347662,59913509.54083481,18852.235892924047,1825,0.27847590209437295,pvalloc_LRG3_max_gridoptim
7,0.0,76853108.61673717,179418398.93403372,76853108.61673717,23688.801706764763,2543,0.4068130204390613,pvalloc_LRG3_max_gridoptim
8,2900.6358171390148,97713872.99801098,174004966.60747376,97716773.63382812,29596.453355362242,3415,0.5791572041382791,pvalloc_LRG3_max_gridoptim
9,78438.09095153668,122253034.59120838,166514636.83035725,122331472.68215992,36731.07109127186,4219,0.792076709563462,pvalloc_LRG3_max_gridoptim
10,1287293.8099030175,147879413.651017,155552958.55233082,149166707.46092004,35754.96335635051,4120,1.0,pvalloc_LRG3_max_gridoptim
11,8093940.1165587185,166114496.59565228,144574489.42534044,174208436.71221098,0.0,0,1.0,pvalloc_LRG3_max_gridoptim
12,8093940.1165587185,166114496.59565228,144574489.42534044,174208436.71221098,0.0,0,1.0,pvalloc_LRG3_max_gridoptim
13,8093940.1165587185,166114496.59565228,144574489.42534044,174208436.71221098,0.0,0,1.0,pvalloc_LRG3_max_gridoptim
14,8093940.1165587185,166114496.59565228,144574489.42534044,174208436.71221098,0.0,0,1.0,pvalloc_LRG3_max_gridoptim
15,8093940.1165587185,166114496.59565228,144574489.42534044,174208436.71221098,0.0,0,1.0,pvalloc_LRG3_max_gridoptim
16,8093940.1165587185,166114496.59565228,144574489.42534044,174208436.71221098,0.0,0,1.0,pvalloc_LRG3_max_gridoptim
17,8093940.1165587185,166114496.59565228,144574489.42534044,174208436.71221098,0.0,0,1.0,pvalloc_LRG3_max_gridoptim
18,8093940.1165587185,166114496.59565228,144574489.42534044,174208436.71221098,0.0,0,1.0,pvalloc_LRG3_max_gridoptim
19,8093940.1165587185,166114496.59565228,144574489.42534044,174208436.71221098,0.0,0,1.0,pvalloc_LRG3_max_gridoptim
20,8093940.1165587185,166114496.59565228,144574489.42534044,174208436.71221098,0.0,0,1.0,pvalloc_LRG3_max_gridoptim
21,8093940.1165587185,166114496.59565228,144574489.42534044,174208436.71221098,0.0,0,1.0,pvalloc_LRG3_max_gridoptim
22,8093940.1165587185,166114496.59565228,144574489.42534044,174208436.71221098,0.0,0,1.0,pvalloc_LRG3_max_gridoptim
23,8093940.1165587185,166114496.59565228,144574489.42534044,174208436.71221098,0.0,0,1.0,pvalloc_LRG3_max_gridoptim
24,8093940.1165587185,166114496.59565228,144574489.42534044,174208436.71221098,0.0,0,1.0,pvalloc_LRG3_max_gridoptim
