n_iter,feedin_atnode_loss_kW,feedin_atnode_taken_kW,demand_atnode_kW,feedin_atnode_kW,TotalPower,n_EGID_pvinst,ratio_EGID_pvinst,scen
1,0.0,12138093.51969259,156451870.7465875,12138093.51969259,11524.756004960458,707,0.05019880715705766,pvalloc_29nbfs_LRG2_gridoptim_max
2,0.0,22244428.25084005,153301998.78694013,22244428.25084005,12810.249641695664,992,0.12063334280034081,pvalloc_29nbfs_LRG2_gridoptim_max
3,0.0,33310450.14863914,149823591.26840037,33310450.14863914,15553.317893489424,1366,0.2176228344220392,pvalloc_29nbfs_LRG2_gridoptim_max
4,0.0,46827482.54199508,145705508.20756593,46827482.54199508,18330.501046373498,1823,0.3470604941777904,pvalloc_29nbfs_LRG2_gridoptim_max
5,0.0,63077538.0796834,141301511.13149098,63077538.0796834,21132.817495769195,2384,0.5163305879011645,pvalloc_29nbfs_LRG2_gridoptim_max
6,6155.17144304049,81965714.62227096,136575455.2020953,81971869.793714,23962.731074123883,2823,0.716770803748935,pvalloc_29nbfs_LRG2_gridoptim_max
7,570480.891487979,102013503.0600453,130529808.64687496,102583983.95153329,26826.370176959703,2912,0.9235302470888952,pvalloc_29nbfs_LRG2_gridoptim_max
8,5067794.465838253,120093898.58721131,123080087.88648254,125161693.05304956,7267.964158997319,950,0.9909826753763136,pvalloc_29nbfs_LRG2_gridoptim_max
9,8012555.139681691,123141335.95831627,120904735.91316926,131153891.09799795,0.0,0,0.9909826753763136,pvalloc_29nbfs_LRG2_gridoptim_max
10,8012555.139681691,123141335.95831627,120904735.91316926,131153891.09799795,0.0,0,0.9909826753763136,pvalloc_29nbfs_LRG2_gridoptim_max
11,8012555.139681691,123141335.95831627,120904735.91316926,131153891.09799795,0.0,0,0.9909826753763136,pvalloc_29nbfs_LRG2_gridoptim_max
12,8012555.139681691,123141335.95831627,120904735.91316926,131153891.09799795,0.0,0,0.9909826753763136,pvalloc_29nbfs_LRG2_gridoptim_max
13,8012555.139681691,123141335.95831627,120904735.91316926,131153891.09799795,0.0,0,0.9909826753763136,pvalloc_29nbfs_LRG2_gridoptim_max
14,8012555.139681691,123141335.95831627,120904735.91316926,131153891.09799795,0.0,0,0.9909826753763136,pvalloc_29nbfs_LRG2_gridoptim_max
15,8012555.139681691,123141335.95831627,120904735.91316926,131153891.09799795,0.0,0,0.9909826753763136,pvalloc_29nbfs_LRG2_gridoptim_max
16,8012555.139681691,123141335.95831627,120904735.91316926,131153891.09799795,0.0,0,0.9909826753763136,pvalloc_29nbfs_LRG2_gridoptim_max
17,8012555.139681691,123141335.95831627,120904735.91316926,131153891.09799795,0.0,0,0.9909826753763136,pvalloc_29nbfs_LRG2_gridoptim_max
18,8012555.139681691,123141335.95831627,120904735.91316926,131153891.09799795,0.0,0,0.9909826753763136,pvalloc_29nbfs_LRG2_gridoptim_max
19,8012555.139681691,123141335.95831627,120904735.91316926,131153891.09799795,0.0,0,0.9909826753763136,pvalloc_29nbfs_LRG2_gridoptim_max
20,8012555.139681691,123141335.95831627,120904735.91316926,131153891.09799795,0.0,0,0.9909826753763136,pvalloc_29nbfs_LRG2_gridoptim_max
1,0.0,12106812.450632345,156460670.4000943,12106812.450632345,11525.071919462534,593,0.042104515762567456,pvalloc_29nbfs_LRG2_max
2,0.0,20650499.33630851,151617544.74077043,20650499.33630851,12807.0679353278,879,0.10451576256745243,pvalloc_29nbfs_LRG2_max
3,0.0,30664498.583638318,146717489.61353624,30664498.583638318,15557.56689078119,1258,0.19383697813121273,pvalloc_29nbfs_LRG2_max
4,47.462971084104595,42794732.468768485,140947198.79364422,42794779.93173957,18334.55236502095,1682,0.3132632774779892,pvalloc_29nbfs_LRG2_max
5,26646.47922277057,58173032.392178625,135296824.66819444,58199678.8714014,21138.64209757162,2289,0.4757881283726214,pvalloc_29nbfs_LRG2_max
