t_int,feedin_atnode_kW,demand_atnode_kW,max_demand_feedin_atnode_kW,feedin_atnode_taken_kW,feedin_atnode_loss_kW,scen
4920,0.0,11113.463869085279,11113.463869085279,0.0,0.0,pvalloc_29nbfs_LRG2_gridoptim_max
4921,0.0,10737.831728562103,10737.831728562103,0.0,0.0,pvalloc_29nbfs_LRG2_gridoptim_max
4922,0.0,10105.311448681487,10105.311448681487,0.0,0.0,pvalloc_29nbfs_LRG2_gridoptim_max
4923,0.0,8120.094880445638,8120.094880445638,0.0,0.0,pvalloc_29nbfs_LRG2_gridoptim_max
4924,0.0,7251.733657230993,7251.733657230993,0.0,0.0,pvalloc_29nbfs_LRG2_gridoptim_max
4925,0.0,6971.075169345189,6971.075169345189,0.0,0.0,pvalloc_29nbfs_LRG2_gridoptim_max
4926,815.4872725855732,3618.2141821680602,3709.441404487184,815.4872725855732,0.0,pvalloc_29nbfs_LRG2_gridoptim_max
4927,15638.410199987686,2565.396533825808,16164.113051994089,15638.410199987686,0.0,pvalloc_29nbfs_LRG2_gridoptim_max
4928,35718.53635660216,2730.358569313444,35924.052846488354,35651.9737109701,66.56264563206088,pvalloc_29nbfs_LRG2_gridoptim_max
4929,54945.33062663259,3383.3676246703985,55123.19847335439,53178.968910011645,1766.3617166209488,pvalloc_29nbfs_LRG2_gridoptim_max
4930,73824.2746300653,3609.579001210335,73962.47030040898,66532.53535818376,7291.739271881597,pvalloc_29nbfs_LRG2_gridoptim_max
4931,88638.60523104356,4122.941324315314,88797.05384380394,74667.8380409171,13970.767190126473,pvalloc_29nbfs_LRG2_gridoptim_max
4932,73653.5695734071,5203.08748178389,73994.66169865592,66395.23850799666,7258.331065410372,pvalloc_29nbfs_LRG2_gridoptim_max
4933,61290.72150883773,6740.212818645233,62198.90552104714,58057.89031864898,3232.8311901887337,pvalloc_29nbfs_LRG2_gridoptim_max
4934,57943.44192181016,5555.331886811121,58522.39185949863,55402.36083129762,2541.0810905125227,pvalloc_29nbfs_LRG2_gridoptim_max
4935,50588.19470450244,5124.714976846567,51186.60070363388,49419.31315394979,1168.8815505526584,pvalloc_29nbfs_LRG2_gridoptim_max
4936,49978.20000671424,4868.598334665915,50522.20981492236,48919.08256724722,1059.117439467038,pvalloc_29nbfs_LRG2_gridoptim_max
4937,33822.00971150163,4313.970890398428,34494.19176294334,33779.93257699045,42.077134511181384,pvalloc_29nbfs_LRG2_gridoptim_max
