n_iter,feedin_atnode_loss_kW,demand_atnode_kW,feedin_atnode_kW,TotalPower,n_EGID_pvinst,ratio_EGID_pvinst,scen
3,0,455150071.1,15351030.5,15552.61061,1220,0.183399602,pvalloc_29nbfs_LRG2_max_1hll_sAs2p0
4,38.73272291,443151484.2,21299308.82,18331.99204,1691,0.303464925,pvalloc_29nbfs_LRG2_max_1hll_sAs2p0
5,38.73272291,430068603.4,29332485.77,21142.57309,2229,0.461729622,pvalloc_29nbfs_LRG2_max_1hll_sAs2p0
6,90724.57026,415913011.6,39399437.13,23964.82009,2960,0.671897188,pvalloc_29nbfs_LRG2_max_1hll_sAs2p0
7,302371.517,401104093.2,51638942.5,19210.37702,2628,0.858491906,pvalloc_29nbfs_LRG2_max_1hll_sAs2p0
8,534923.4727,390621129.1,61219046.76,0,0,0.858491906,pvalloc_29nbfs_LRG2_max_1hll_sAs2p0
9,534923.4727,390621129.1,61219046.76,0,0,0.858491906,pvalloc_29nbfs_LRG2_max_1hll_sAs2p0
10,534923.4727,390621129.1,61219046.76,0,0,0.858491906,pvalloc_29nbfs_LRG2_max_1hll_sAs2p0
11,534923.4727,390621129.1,61219046.76,0,0,0.858491906,pvalloc_29nbfs_LRG2_max_1hll_sAs2p0
12,534923.4727,390621129.1,61219046.76,0,0,0.858491906,pvalloc_29nbfs_LRG2_max_1hll_sAs2p0
13,534923.4727,390621129.1,61219046.76,0,0,0.858491906,pvalloc_29nbfs_LRG2_max_1hll_sAs2p0
14,534923.4727,390621129.1,61219046.76,0,0,0.858491906,pvalloc_29nbfs_LRG2_max_1hll_sAs2p0
15,534923.4727,390621129.1,61219046.76,0,0,0.858491906,pvalloc_29nbfs_LRG2_max_1hll_sAs2p0
16,534923.4727,390621129.1,61219046.76,0,0,0.858491906,pvalloc_29nbfs_LRG2_max_1hll_sAs2p0
17,534923.4727,390621129.1,61219046.76,0,0,0.858491906,pvalloc_29nbfs_LRG2_max_1hll_sAs2p0
18,534923.4727,390621129.1,61219046.76,0,0,0.858491906,pvalloc_29nbfs_LRG2_max_1hll_sAs2p0
19,534923.4727,390621129.1,61219046.76,0,0,0.858491906,pvalloc_29nbfs_LRG2_max_1hll_sAs2p0
20,534923.4727,390621129.1,61219046.76,0,0,0.858491906,pvalloc_29nbfs_LRG2_max_1hll_sAs2p0
21,534923.4727,390621129.1,61219046.76,0,0,0.858491906,pvalloc_29nbfs_LRG2_max_1hll_sAs2p0
22,534923.4727,390621129.1,61219046.76,0,0,0.858491906,pvalloc_29nbfs_LRG2_max_1hll_sAs2p0
23,534923.4727,390621129.1,61219046.76,0,0,0.858491906,pvalloc_29nbfs_LRG2_max_1hll_sAs2p0
24,534923.4727,390621129.1,61219046.76,0,0,0.858491906,pvalloc_29nbfs_LRG2_max_1hll_sAs2p0
25,534923.4727,390621129.1,61219046.76,0,0,0.858491906,pvalloc_29nbfs_LRG2_max_1hll_sAs2p0
26,534923.4727,390621129.1,61219046.76,0,0,0.858491906,pvalloc_29nbfs_LRG2_max_1hll_sAs2p0
27,534923.4727,390621129.1,61219046.76,0,0,0.858491906,pvalloc_29nbfs_LRG2_max_1hll_sAs2p0
28,534923.4727,390621129.1,61219046.76,0,0,0.858491906,pvalloc_29nbfs_LRG2_max_1hll_sAs2p0
29,534923.4727,390621129.1,61219046.76,0,0,0.858491906,pvalloc_29nbfs_LRG2_max_1hll_sAs2p0
30,534923.4727,390621129.1,61219046.76,0,0,0.858491906,pvalloc_29nbfs_LRG2_max_1hll_sAs2p0
1,0,474745310.4,7250757.903,11532.23763,540,0.03834138,pvalloc_29nbfs_LRG2_max_1hll_sAs4p0
2,0,465438608.2,11006933.45,12811.59833,825,0.096918489,pvalloc_29nbfs_LRG2_max_1hll_sAs4p0
3,0,455083342.2,15398163.11,15557.17272,1214,0.183115592,pvalloc_29nbfs_LRG2_max_1hll_sAs4p0
