¨n_iter,feedin_atnode_loss_kW,demand_atnode_kW,feedin_atnode_kW,TotalPower,n_EGID_pvinst,ratio_EGID_pvinst,scen
19,3086772.808193281,381570848.6223842,68759984.0021498,0.0,0.0,1.0,pvalloc_29nbfs_30y5_max
20,3086772.808193281,381570848.6223842,68759984.0021498,0.0,0.0,1.0,pvalloc_29nbfs_30y5_max
21,3086772.808193281,381570848.6223842,68759984.0021498,0.0,0.0,1.0,pvalloc_29nbfs_30y5_max
22,3086772.808193281,381570848.6223842,68759984.0021498,0.0,0.0,1.0,pvalloc_29nbfs_30y5_max
23,3086772.808193281,381570848.6223842,68759984.0021498,0.0,0.0,1.0,pvalloc_29nbfs_30y5_max
24,3086772.808193281,381570848.6223842,68759984.0021498,0.0,0.0,1.0,pvalloc_29nbfs_30y5_max
25,3086772.808193281,381570848.6223842,68759984.0021498,0.0,0.0,1.0,pvalloc_29nbfs_30y5_max
26,3086772.808193281,381570848.6223842,68759984.0021498,0.0,0.0,1.0,pvalloc_29nbfs_30y5_max
27,3086772.808193281,381570848.6223842,68759984.0021498,0.0,0.0,1.0,pvalloc_29nbfs_30y5_max
28,3086772.808193281,381570848.6223842,68759984.0021498,0.0,0.0,1.0,pvalloc_29nbfs_30y5_max
29,3086772.808193281,381570848.6223842,68759984.0021498,0.0,0.0,1.0,pvalloc_29nbfs_30y5_max
30,3086772.808193281,381570848.6223842,68759984.0021498,0.0,0.0,1.0,pvalloc_29nbfs_30y5_max
1,0.0,474747000.7688348,7247394.089208613,11522.17190126962,540.0,0.038341380289690426,pvalloc_29nbfs_30y5_max_1hll
2,0.0,465446463.12535614,10992710.109274529,12805.899115161941,826.0,0.09698949162169838,pvalloc_29nbfs_30y5_max_1hll
3,0.0,455082253.8108997,15385951.689544244,15555.229626986082,1222.0,0.18375461516614597,pvalloc_29nbfs_30y5_max_1hll
4,0.0,443074539.04387605,21275681.960642025,18331.497812329628,1713.0,0.30538199375177505,pvalloc_29nbfs_30y5_max_1hll
5,12588.735597469977,429840722.0547238,29290259.95376915,21137.33103611682,2238.0,0.4642857142857143,pvalloc_29nbfs_30y5_max_1hll
6,103810.9750707545,415649183.1622725,39366119.84405174,23970.062031613485,2958.0,0.6743112752059074,pvalloc_29nbfs_30y5_max_1hll
7,246191.7512608022,400803685.6376092,51576744.27614228,19859.557693967123,2690.0,0.8653081510934394,pvalloc_29nbfs_30y5_max_1hll
8,607733.1293640428,390155922.41880137,61544119.98630246,0.0,0.0,0.8653081510934394,pvalloc_29nbfs_30y5_max_1hll
9,607733.1293640428,390155922.41880137,61544119.98630246,0.0,0.0,0.8653081510934394,pvalloc_29nbfs_30y5_max_1hll
10,607733.1293640428,390155922.41880137,61544119.98630246,0.0,0.0,0.8653081510934394,pvalloc_29nbfs_30y5_max_1hll
11,607733.1293640428,390155922.41880137,61544119.98630246,0.0,0.0,0.8653081510934394,pvalloc_29nbfs_30y5_max_1hll
12,607733.1293640428,390155922.41880137,61544119.98630246,0.0,0.0,0.8653081510934394,pvalloc_29nbfs_30y5_max_1hll
13,607733.1293640428,390155922.41880137,61544119.98630246,0.0,0.0,0.8653081510934394,pvalloc_29nbfs_30y5_max_1hll
14,607733.1293640428,390155922.41880137,61544119.98630246,0.0,0.0,0.8653081510934394,pvalloc_29nbfs_30y5_max_1hll
15,607733.1293640428,390155922.41880137,61544119.98630246,0.0,0.0,0.8653081510934394,pvalloc_29nbfs_30y5_max_1hll
16,607733.1293640428,390155922.41880137,61544119.98630246,0.0,0.0,0.8653081510934394,pvalloc_29nbfs_30y5_max_1hll
17,607733.1293640428,390155922.41880137,61544119.98630246,0.0,0.0,0.8653081510934394,pvalloc_29nbfs_30y5_max_1hll
18,607733.1293640428,390155922.41880137,61544119.98630246,0.0,0.0,0.8653081510934394,pvalloc_29nbfs_30y5_max_1hll
19,607733.1293640428,390155922.41880137,61544119.98630246,0.0,0.0,0.8653081510934394,pvalloc_29nbfs_30y5_max_1hll
20,607733.1293640428,390155922.41880137,61544119.98630246,0.0,0.0,0.8653081510934394,pvalloc_29nbfs_30y5_max_1hll
21,607733.1293640428,390155922.41880137,61544119.98630246,0.0,0.0,0.8653081510934394,pvalloc_29nbfs_30y5_max_1hll
22,607733.1293640428,390155922.41880137,61544119.98630246,0.0,0.0,0.8653081510934394,pvalloc_29nbfs_30y5_max_1hll
23,607733.1293640428,390155922.41880137,61544119.98630246,0.0,0.0,0.8653081510934394,pvalloc_29nbfs_30y5_max_1hll
24,607733.1293640428,390155922.41880137,61544119.98630246,0.0,0.0,0.8653081510934394,pvalloc_29nbfs_30y5_max_1hll
25,607733.1293640428,390155922.41880137,61544119.98630246,0.0,0.0,0.8653081510934394,pvalloc_29nbfs_30y5_max_1hll
26,607733.1293640428,390155922.41880137,61544119.98630246,0.0,0.0,0.8653081510934394,pvalloc_29nbfs_30y5_max_1hll
27,607733.1293640428,390155922.41880137,61544119.98630246,0.0,0.0,0.8653081510934394,pvalloc_29nbfs_30y5_max_1hll
28,607733.1293640428,390155922.41880137,61544119.98630246,0.0,0.0,0.8653081510934394,pvalloc_29nbfs_30y5_max_1hll
29,607733.1293640428,390155922.41880137,61544119.98630246,0.0,0.0,0.8653081510934394,pvalloc_29nbfs_30y5_max_1hll
30,607733.1293640428,390155922.41880137,61544119.98630246,0.0,0.0,0.8653081510934394,pvalloc_29nbfs_30y5_max_1hll
1,0.0,474783600.66614634,7218563.586029123,11526.557525039998,540.0,0.038341380289690426,pvalloc_29nbfs_30y5_max_1hll_sAs2p0
2,0.0,465471887.62079626,10972432.268870607,12805.029428133648,823.0,0.09677648395342232,pvalloc_29nbfs_30y5_max_1hll_sAs2p0
3,0.0,455150071.1170049,15351030.500391433,15552.61061401282,1220.0,0.1833996023856859,pvalloc_29nbfs_30y5_max_1hll_sAs2p0
4,38.73272290942987,443151484.17764616,21299308.816073716,18331.99203852972,1691.0,0.30346492473729053,pvalloc_29nbfs_30y5_max_1hll_sAs2p0
5,38.73272290942987,430068603.39799243,29332485.76659646,21142.573086913584,2229.0,0.4617296222664016,pvalloc_29nbfs_30y5_max_1hll_sAs2p0
6,90724.57026286724,415913011.62215453,39399437.12639661,23964.82009382735,2960.0,0.6718971882987788,pvalloc_29nbfs_30y5_max_1hll_sAs2p0
7,302371.51700744225,401104093.179635,51638942.49821689,19210.377020994794,2628.0,0.8584919057086056,pvalloc_29nbfs_30y5_max_1hll_sAs2p0
8,534923.4726785312,390621129.0997981,61219046.764261596,0.0,0.0,0.8584919057086056,pvalloc_29nbfs_30y5_max_1hll_sAs2p0
9,534923.4726785312,390621129.0997981,61219046.764261596,0.0,0.0,0.8584919057086056,pvalloc_29nbfs_30y5_max_1hll_sAs2p0
10,534923.4726785312,390621129.0997981,61219046.764261596,0.0,0.0,0.8584919057086056,pvalloc_29nbfs_30y5_max_1hll_sAs2p0
11,534923.4726785312,390621129.0997981,61219046.764261596,0.0,0.0,0.8584919057086056,pvalloc_29nbfs_30y5_max_1hll_sAs2p0
12,534923.4726785312,390621129.0997981,61219046.764261596,0.0,0.0,0.8584919057086056,pvalloc_29nbfs_30y5_max_1hll_sAs2p0
13,534923.4726785312,390621129.0997981,61219046.764261596,0.0,0.0,0.8584919057086056,pvalloc_29nbfs_30y5_max_1hll_sAs2p0
14,534923.4726785312,390621129.0997981,61219046.764261596,0.0,0.0,0.8584919057086056,pvalloc_29nbfs_30y5_max_1hll_sAs2p0
15,534923.4726785312,390621129.0997981,61219046.764261596,0.0,0.0,0.8584919057086056,pvalloc_29nbfs_30y5_max_1hll_sAs2p0
16,534923.4726785312,390621129.0997981,61219046.764261596,0.0,0.0,0.8584919057086056,pvalloc_29nbfs_30y5_max_1hll_sAs2p0
17,534923.4726785312,390621129.0997981,61219046.764261596,0.0,0.0,0.8584919057086056,pvalloc_29nbfs_30y5_max_1hll_sAs2p0
18,534923.4726785312,390621129.0997981,61219046.764261596,0.0,0.0,0.8584919057086056,pvalloc_29nbfs_30y5_max_1hll_sAs2p0
19,534923.4726785312,390621129.0997981,61219046.764261596,0.0,0.0,0.8584919057086056,pvalloc_29nbfs_30y5_max_1hll_sAs2p0
20,534923.4726785312,390621129.0997981,61219046.764261596,0.0,0.0,0.8584919057086056,pvalloc_29nbfs_30y5_max_1hll_sAs2p0
21,534923.4726785312,390621129.0997981,61219046.764261596,0.0,0.0,0.8584919057086056,pvalloc_29nbfs_30y5_max_1hll_sAs2p0
22,534923.4726785312,390621129.0997981,61219046.764261596,0.0,0.0,0.8584919057086056,pvalloc_29nbfs_30y5_max_1hll_sAs2p0
23,534923.4726785312,390621129.0997981,61219046.764261596,0.0,0.0,0.8584919057086056,pvalloc_29nbfs_30y5_max_1hll_sAs2p0
24,534923.4726785312,390621129.0997981,61219046.764261596,0.0,0.0,0.8584919057086056,pvalloc_29nbfs_30y5_max_1hll_sAs2p0
25,534923.4726785312,390621129.0997981,61219046.764261596,0.0,0.0,0.8584919057086056,pvalloc_29nbfs_30y5_max_1hll_sAs2p0
26,534923.4726785312,390621129.0997981,61219046.764261596,0.0,0.0,0.8584919057086056,pvalloc_29nbfs_30y5_max_1hll_sAs2p0
27,534923.4726785312,390621129.0997981,61219046.764261596,0.0,0.0,0.8584919057086056,pvalloc_29nbfs_30y5_max_1hll_sAs2p0
28,534923.4726785312,390621129.0997981,61219046.764261596,0.0,0.0,0.8584919057086056,pvalloc_29nbfs_30y5_max_1hll_sAs2p0
29,534923.4726785312,390621129.0997981,61219046.764261596,0.0,0.0,0.8584919057086056,pvalloc_29nbfs_30y5_max_1hll_sAs2p0
30,534923.4726785312,390621129.0997981,61219046.764261596,0.0,0.0,0.8584919057086056,pvalloc_29nbfs_30y5_max_1hll_sAs2p0
1,0.0,474745310.35073566,7250757.902765973,11532.23762997859,540.0,0.038341380289690426,pvalloc_29nbfs_30y5_max_1hll_sAs4p0
2,0.0,465438608.1629355,11006933.45141986,12811.598329582363,825.0,0.09691848906560636,pvalloc_29nbfs_30y5_max_1hll_sAs4p0
3,0.0,455083342.17114675,15398163.110283412,15557.17272464523,1214.0,0.18311559216131781,pvalloc_29nbfs_30y5_max_1hll_sAs4p0
4,221.59526184612884,443204453.28541374,21350573.27154081,18333.905592728603,1674.0,0.30197387105935813,pvalloc_29nbfs_30y5_max_1hll_sAs4p0
5,221.59526184612884,430263221.39054036,29434433.47057515,21138.648341688313,2225.0,0.4599545583641011,pvalloc_29nbfs_30y5_max_1hll_sAs4p0
6,74415.08090567308,416220089.7721028,39494819.49204755,23965.554132572393,2947.0,0.669199091167282,pvalloc_29nbfs_30y5_max_1hll_sAs4p0
7,299745.18115546217,401578301.8144722,51794070.86541005,19093.745685580157,2644.0,0.8569298494745811,pvalloc_29nbfs_30y5_max_1hll_sAs4p0
8,535025.3097090384,390839612.8276798,61197646.33220015,0.0,0.0,0.8569298494745811,pvalloc_29nbfs_30y5_max_1hll_sAs4p0
9,535025.3097090384,390839612.8276798,61197646.33220015,0.0,0.0,0.8569298494745811,pvalloc_29nbfs_30y5_max_1hll_sAs4p0
10,535025.3097090384,390839612.8276798,61197646.33220015,0.0,0.0,0.8569298494745811,pvalloc_29nbfs_30y5_max_1hll_sAs4p0
11,535025.3097090384,390839612.8276798,61197646.33220015,0.0,0.0,0.8569298494745811,pvalloc_29nbfs_30y5_max_1hll_sAs4p0
12,535025.3097090384,390839612.8276798,61197646.33220015,0.0,0.0,0.8569298494745811,pvalloc_29nbfs_30y5_max_1hll_sAs4p0
13,535025.3097090384,390839612.8276798,61197646.33220015,0.0,0.0,0.8569298494745811,pvalloc_29nbfs_30y5_max_1hll_sAs4p0
14,535025.3097090384,390839612.8276798,61197646.33220015,0.0,0.0,0.8569298494745811,pvalloc_29nbfs_30y5_max_1hll_sAs4p0
15,535025.3097090384,390839612.8276798,61197646.33220015,0.0,0.0,0.8569298494745811,pvalloc_29nbfs_30y5_max_1hll_sAs4p0
16,535025.3097090384,390839612.8276798,61197646.33220015,0.0,0.0,0.8569298494745811,pvalloc_29nbfs_30y5_max_1hll_sAs4p0
17,535025.3097090384,390839612.8276798,61197646.33220015,0.0,0.0,0.8569298494745811,pvalloc_29nbfs_30y5_max_1hll_sAs4p0
18,535025.3097090384,390839612.8276798,61197646.33220015,0.0,0.0,0.8569298494745811,pvalloc_29nbfs_30y5_max_1hll_sAs4p0
19,535025.3097090384,390839612.8276798,61197646.33220015,0.0,0.0,0.8569298494745811,pvalloc_29nbfs_30y5_max_1hll_sAs4p0
20,535025.3097090384,390839612.8276798,61197646.33220015,0.0,0.0,0.8569298494745811,pvalloc_29nbfs_30y5_max_1hll_sAs4p0
21,535025.3097090384,390839612.8276798,61197646.33220015,0.0,0.0,0.8569298494745811,pvalloc_29nbfs_30y5_max_1hll_sAs4p0
22,535025.3097090384,390839612.8276798,61197646.33220015,0.0,0.0,0.8569298494745811,pvalloc_29nbfs_30y5_max_1hll_sAs4p0
23,535025.3097090384,390839612.8276798,61197646.33220015,0.0,0.0,0.8569298494745811,pvalloc_29nbfs_30y5_max_1hll_sAs4p0
24,535025.3097090384,390839612.8276798,61197646.33220015,0.0,0.0,0.8569298494745811,pvalloc_29nbfs_30y5_max_1hll_sAs4p0
25,535025.3097090384,390839612.8276798,61197646.33220015,0.0,0.0,0.8569298494745811,pvalloc_29nbfs_30y5_max_1hll_sAs4p0
26,535025.3097090384,390839612.8276798,61197646.33220015,0.0,0.0,0.8569298494745811,pvalloc_29nbfs_30y5_max_1hll_sAs4p0
27,535025.3097090384,390839612.8276798,61197646.33220015,0.0,0.0,0.8569298494745811,pvalloc_29nbfs_30y5_max_1hll_sAs4p0
28,535025.3097090384,390839612.8276798,61197646.33220015,0.0,0.0,0.8569298494745811,pvalloc_29nbfs_30y5_max_1hll_sAs4p0
29,535025.3097090384,390839612.8276798,61197646.33220015,0.0,0.0,0.8569298494745811,pvalloc_29nbfs_30y5_max_1hll_sAs4p0
30,535025.3097090384,390839612.8276798,61197646.33220015,0.0,0.0,0.8569298494745811,pvalloc_29nbfs_30y5_max_1hll_sAs4p0
1,0.0,474762361.35144264,7231392.5965399565,11521.537784368287,540.0,0.038341380289690426,pvalloc_29nbfs_30y5_max_1hll_sAs6p0
2,0.0,465472061.546239,10995786.497849694,12808.486998083583,824.0,0.09684748650951434,pvalloc_29nbfs_30y5_max_1hll_sAs6p0
3,0.0,455135684.06721437,15391008.111578878,15562.766918997062,1207.0,0.18254757171258165,pvalloc_29nbfs_30y5_max_1hll_sAs6p0
4,827.5241952557783,443347429.94267005,21407317.35337961,18337.02919335999,1663.0,0.3006248224936098,pvalloc_29nbfs_30y5_max_1hll_sAs6p0
5,827.5241952557783,430542285.22623044,29488700.09590001,21134.27578181953,2230.0,0.4589605225788128,pvalloc_29nbfs_30y5_max_1hll_sAs6p0
6,54851.06999613648,416539479.4648014,39573641.322003536,23961.774682976316,2964.0,0.6694120988355581,pvalloc_29nbfs_30y5_max_1hll_sAs6p0
7,280338.4870125663,401809268.00779915,51848605.93724591,18812.23772719013,2605.0,0.8543737574552683,pvalloc_29nbfs_30y5_max_1hll_sAs6p0
8,523888.01178204827,391091522.8300908,61070784.14204033,0.0,0.0,0.8543737574552683,pvalloc_29nbfs_30y5_max_1hll_sAs6p0
9,523888.01178204827,391091522.8300908,61070784.14204033,0.0,0.0,0.8543737574552683,pvalloc_29nbfs_30y5_max_1hll_sAs6p0
10,523888.01178204827,391091522.8300908,61070784.14204033,0.0,0.0,0.8543737574552683,pvalloc_29nbfs_30y5_max_1hll_sAs6p0
11,523888.01178204827,391091522.8300908,61070784.14204033,0.0,0.0,0.8543737574552683,pvalloc_29nbfs_30y5_max_1hll_sAs6p0
12,523888.01178204827,391091522.8300908,61070784.14204033,0.0,0.0,0.8543737574552683,pvalloc_29nbfs_30y5_max_1hll_sAs6p0
13,523888.01178204827,391091522.8300908,61070784.14204033,0.0,0.0,0.8543737574552683,pvalloc_29nbfs_30y5_max_1hll_sAs6p0
14,523888.01178204827,391091522.8300908,61070784.14204033,0.0,0.0,0.8543737574552683,pvalloc_29nbfs_30y5_max_1hll_sAs6p0
15,523888.01178204827,391091522.8300908,61070784.14204033,0.0,0.0,0.8543737574552683,pvalloc_29nbfs_30y5_max_1hll_sAs6p0
16,523888.01178204827,391091522.8300908,61070784.14204033,0.0,0.0,0.8543737574552683,pvalloc_29nbfs_30y5_max_1hll_sAs6p0
17,523888.01178204827,391091522.8300908,61070784.14204033,0.0,0.0,0.8543737574552683,pvalloc_29nbfs_30y5_max_1hll_sAs6p0
18,523888.01178204827,391091522.8300908,61070784.14204033,0.0,0.0,0.8543737574552683,pvalloc_29nbfs_30y5_max_1hll_sAs6p0
19,523888.01178204827,391091522.8300908,61070784.14204033,0.0,0.0,0.8543737574552683,pvalloc_29nbfs_30y5_max_1hll_sAs6p0
20,523888.01178204827,391091522.8300908,61070784.14204033,0.0,0.0,0.8543737574552683,pvalloc_29nbfs_30y5_max_1hll_sAs6p0
21,523888.01178204827,391091522.8300908,61070784.14204033,0.0,0.0,0.8543737574552683,pvalloc_29nbfs_30y5_max_1hll_sAs6p0
22,523888.01178204827,391091522.8300908,61070784.14204033,0.0,0.0,0.8543737574552683,pvalloc_29nbfs_30y5_max_1hll_sAs6p0
23,523888.01178204827,391091522.8300908,61070784.14204033,0.0,0.0,0.8543737574552683,pvalloc_29nbfs_30y5_max_1hll_sAs6p0
24,523888.01178204827,391091522.8300908,61070784.14204033,0.0,0.0,0.8543737574552683,pvalloc_29nbfs_30y5_max_1hll_sAs6p0
25,523888.01178204827,391091522.8300908,61070784.14204033,0.0,0.0,0.8543737574552683,pvalloc_29nbfs_30y5_max_1hll_sAs6p0
26,523888.01178204827,391091522.8300908,61070784.14204033,0.0,0.0,0.8543737574552683,pvalloc_29nbfs_30y5_max_1hll_sAs6p0
27,523888.01178204827,391091522.8300908,61070784.14204033,0.0,0.0,0.8543737574552683,pvalloc_29nbfs_30y5_max_1hll_sAs6p0
28,523888.01178204827,391091522.8300908,61070784.14204033,0.0,0.0,0.8543737574552683,pvalloc_29nbfs_30y5_max_1hll_sAs6p0
29,523888.01178204827,391091522.8300908,61070784.14204033,0.0,0.0,0.8543737574552683,pvalloc_29nbfs_30y5_max_1hll_sAs6p0
30,523888.01178204827,391091522.8300908,61070784.14204033,0.0,0.0,0.8543737574552683,pvalloc_29nbfs_30y5_max_1hll_sAs6p0
1,0.0,474762128.8271981,7234162.502959867,11521.125885898206,541.0,0.038412382845782446,pvalloc_29nbfs_30y5_max_1hll_sBs0p4
2,0.0,465536151.59934723,10987897.659544954,12807.657209834528,828.0,0.09720249928997444,pvalloc_29nbfs_30y5_max_1hll_sBs0p4
3,0.0,455208975.6700563,15362179.683007209,15561.907828524465,1224.0,0.18410962794660607,pvalloc_29nbfs_30y5_max_1hll_sBs0p4
4,0.0,443177839.7217804,21297659.366573732,18333.057511927454,1725.0,0.30658903720533937,pvalloc_29nbfs_30y5_max_1hll_sBs0p4
5,8484.602847899645,429910052.841465,29362686.77142009,21132.257005523308,2236.0,0.4653507526270946,pvalloc_29nbfs_30y5_max_1hll_sBs0p4
6,60438.11849435272,415812052.49340564,39418824.693792984,23968.32866650497,2958.0,0.6753763135472877,pvalloc_29nbfs_30y5_max_1hll_sBs0p4
7,195206.59751065023,401094150.0691891,51497085.633543566,19445.035573501984,2622.0,0.8615450156205623,pvalloc_29nbfs_30y5_max_1hll_sBs0p4
8,564874.3116674724,390447714.76452726,61272345.60835706,0.0,0.0,0.8615450156205623,pvalloc_29nbfs_30y5_max_1hll_sBs0p4
9,564874.3116674724,390447714.76452726,61272345.60835706,0.0,0.0,0.8615450156205623,pvalloc_29nbfs_30y5_max_1hll_sBs0p4
10,564874.3116674724,390447714.76452726,61272345.60835706,0.0,0.0,0.8615450156205623,pvalloc_29nbfs_30y5_max_1hll_sBs0p4
11,564874.3116674724,390447714.76452726,61272345.60835706,0.0,0.0,0.8615450156205623,pvalloc_29nbfs_30y5_max_1hll_sBs0p4
12,564874.3116674724,390447714.76452726,61272345.60835706,0.0,0.0,0.8615450156205623,pvalloc_29nbfs_30y5_max_1hll_sBs0p4
13,564874.3116674724,390447714.76452726,61272345.60835706,0.0,0.0,0.8615450156205623,pvalloc_29nbfs_30y5_max_1hll_sBs0p4
14,564874.3116674724,390447714.76452726,61272345.60835706,0.0,0.0,0.8615450156205623,pvalloc_29nbfs_30y5_max_1hll_sBs0p4
15,564874.3116674724,390447714.76452726,61272345.60835706,0.0,0.0,0.8615450156205623,pvalloc_29nbfs_30y5_max_1hll_sBs0p4
16,564874.3116674724,390447714.76452726,61272345.60835706,0.0,0.0,0.8615450156205623,pvalloc_29nbfs_30y5_max_1hll_sBs0p4
17,564874.3116674724,390447714.76452726,61272345.60835706,0.0,0.0,0.8615450156205623,pvalloc_29nbfs_30y5_max_1hll_sBs0p4
18,564874.3116674724,390447714.76452726,61272345.60835706,0.0,0.0,0.8615450156205623,pvalloc_29nbfs_30y5_max_1hll_sBs0p4
19,564874.3116674724,390447714.76452726,61272345.60835706,0.0,0.0,0.8615450156205623,pvalloc_29nbfs_30y5_max_1hll_sBs0p4
20,564874.3116674724,390447714.76452726,61272345.60835706,0.0,0.0,0.8615450156205623,pvalloc_29nbfs_30y5_max_1hll_sBs0p4
21,564874.3116674724,390447714.76452726,61272345.60835706,0.0,0.0,0.8615450156205623,pvalloc_29nbfs_30y5_max_1hll_sBs0p4
22,564874.3116674724,390447714.76452726,61272345.60835706,0.0,0.0,0.8615450156205623,pvalloc_29nbfs_30y5_max_1hll_sBs0p4
23,564874.3116674724,390447714.76452726,61272345.60835706,0.0,0.0,0.8615450156205623,pvalloc_29nbfs_30y5_max_1hll_sBs0p4
24,564874.3116674724,390447714.76452726,61272345.60835706,0.0,0.0,0.8615450156205623,pvalloc_29nbfs_30y5_max_1hll_sBs0p4
25,564874.3116674724,390447714.76452726,61272345.60835706,0.0,0.0,0.8615450156205623,pvalloc_29nbfs_30y5_max_1hll_sBs0p4
26,564874.3116674724,390447714.76452726,61272345.60835706,0.0,0.0,0.8615450156205623,pvalloc_29nbfs_30y5_max_1hll_sBs0p4
27,564874.3116674724,390447714.76452726,61272345.60835706,0.0,0.0,0.8615450156205623,pvalloc_29nbfs_30y5_max_1hll_sBs0p4
28,564874.3116674724,390447714.76452726,61272345.60835706,0.0,0.0,0.8615450156205623,pvalloc_29nbfs_30y5_max_1hll_sBs0p4
29,564874.3116674724,390447714.76452726,61272345.60835706,0.0,0.0,0.8615450156205623,pvalloc_29nbfs_30y5_max_1hll_sBs0p4
30,564874.3116674724,390447714.76452726,61272345.60835706,0.0,0.0,0.8615450156205623,pvalloc_29nbfs_30y5_max_1hll_sBs0p4
1,0.0,474738517.71561724,7255898.446592969,11519.111085483106,547.0,0.03883839818233457,pvalloc_29nbfs_30y5_max_1hll_sBs0p6
2,0.0,465564967.01452893,11007589.432738034,12813.793626206576,828.0,0.09762851462652655,pvalloc_29nbfs_30y5_max_1hll_sBs0p6
3,0.0,455244242.7482467,15381727.870262051,15556.700360338442,1239.0,0.1856006816245385,pvalloc_29nbfs_30y5_max_1hll_sBs0p6
4,0.0,443271769.8056487,21460910.80672452,18333.22333073608,1755.0,0.31021016756603237,pvalloc_29nbfs_30y5_max_1hll_sBs0p6
5,5246.784394671717,430086565.6923692,29524760.226626292,21137.696127775853,2248.0,0.46982391366089177,pvalloc_29nbfs_30y5_max_1hll_sBs0p6
6,20589.85512869604,416123308.78133047,39494156.08640395,23967.018849932952,2901.0,0.6758023288838398,pvalloc_29nbfs_30y5_max_1hll_sBs0p6
7,246845.45210934783,401234056.40375865,51449988.0936895,21395.573937015648,2873.0,0.8797926725362113,pvalloc_29nbfs_30y5_max_1hll_sBs0p6
8,903374.596441146,389321091.6342924,62328032.474887595,0.0,0.0,0.8797926725362113,pvalloc_29nbfs_30y5_max_1hll_sBs0p6
9,903374.596441146,389321091.6342924,62328032.474887595,0.0,0.0,0.8797926725362113,pvalloc_29nbfs_30y5_max_1hll_sBs0p6
10,903374.596441146,389321091.6342924,62328032.474887595,0.0,0.0,0.8797926725362113,pvalloc_29nbfs_30y5_max_1hll_sBs0p6
11,903374.596441146,389321091.6342924,62328032.474887595,0.0,0.0,0.8797926725362113,pvalloc_29nbfs_30y5_max_1hll_sBs0p6
12,903374.596441146,389321091.6342924,62328032.474887595,0.0,0.0,0.8797926725362113,pvalloc_29nbfs_30y5_max_1hll_sBs0p6
13,903374.596441146,389321091.6342924,62328032.474887595,0.0,0.0,0.8797926725362113,pvalloc_29nbfs_30y5_max_1hll_sBs0p6
14,903374.596441146,389321091.6342924,62328032.474887595,0.0,0.0,0.8797926725362113,pvalloc_29nbfs_30y5_max_1hll_sBs0p6
15,903374.596441146,389321091.6342924,62328032.474887595,0.0,0.0,0.8797926725362113,pvalloc_29nbfs_30y5_max_1hll_sBs0p6
16,903374.596441146,389321091.6342924,62328032.474887595,0.0,0.0,0.8797926725362113,pvalloc_29nbfs_30y5_max_1hll_sBs0p6
17,903374.596441146,389321091.6342924,62328032.474887595,0.0,0.0,0.8797926725362113,pvalloc_29nbfs_30y5_max_1hll_sBs0p6
18,903374.596441146,389321091.6342924,62328032.474887595,0.0,0.0,0.8797926725362113,pvalloc_29nbfs_30y5_max_1hll_sBs0p6
19,903374.596441146,389321091.6342924,62328032.474887595,0.0,0.0,0.8797926725362113,pvalloc_29nbfs_30y5_max_1hll_sBs0p6
